Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Tournelle	GPE	5.30 p.m.—The Marquis came over from Tournelle with a note from the Baronne after déjeûner to-	303	Tournelle, Quai de la Marine, 89000, Auxerre, Yonne, Bourgogne-Franche-Comté, FRA	POI	Parking	Quai de la Marine	Marine		Auxerre	Yonne	Bourgogne-Franche-Comté	France	FRA	3.574390000000051	47.80079000000006	100	
Versailles	GPE	same table. Victorine went in with another officer from Versailles, in the same regiment of Chasseurs as the Vicomte	310	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Paris	GPE	were very smart, and of course had come from Paris.	311	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Vernon	GPE	never spent such an agitated night as the one at Vernon. So I said No, the fleas were horrid	312	Vernon, BC, CAN	Locality	City				Vernon	North Okanagan Regional District	British Columbia	Canada	CAN	-119.27178899999996	50.26679500000006	100	
Vernon	GPE	about our journey on the Sauterelle, where, at Vernon, Monsieur de la Trémors had been so badly bitten	313	Vernon, BC, CAN	Locality	City				Vernon	North Okanagan Regional District	British Columbia	Canada	CAN	-119.27178899999996	50.26679500000006	100	
Monte Cristo	GPE	were as beautiful as those produced by the Hachis of Monte Cristo (whatever that is), so the old girl	313	Monte Cristo, Río Primero, Córdoba, ARG	Locality	City				Monte Cristo	Río Primero	Córdoba	Argentina	ARG	-63.94867999999997	-31.343639999999937	100	
Paris	GPE	does do it well, and does nothing else in Paris, the Baronne told me. At last we got	322	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
France	GPE	, I am sure runaway matches aren't legal in France, from what I heard Jean saying two nights ago	325	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Versailles	GPE	up, as he will only have got back to Versailles just in time for his duty at six, and	330	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
England	GPE	shandrydans that one sees coming to country garden parties in England. There were also numbers of officers riding in uniform	334	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	; and if we could have the foxes trained in England to go just where they should, and then always	334	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	, we could never have any fun like this in England. What Englishman would think of dancing the Lancers on	343	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
France	GPE	, and things like that, that give cold in France. The Vicomte came back with us, and,	345	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Tournelle	GPE	I hope he didn't. We went in to Tournelle to have something to drink, while the horses were	346	Tournelle, Quai de la Marine, 89000, Auxerre, Yonne, Bourgogne-Franche-Comté, FRA	POI	Parking	Quai de la Marine	Marine		Auxerre	Yonne	Bourgogne-Franche-Comté	France	FRA	3.574390000000051	47.80079000000006	100	
Paris	GPE	and a tall hat, just as if it was Paris and the height of the season. They made conversation	353	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Voyez	GPE	"that Agnès had stupidly left in my belt. ""Voyez! vous avez fait saigner ma main,"" she"	354	Voyez, Sakhalin, RUS	Locality	City						Sakhalin	Russia	RUS	141.9000000000001	52.98333000000008	100	
Girlish	GPE	Girlish Amenities	355	Girlish, Via Garigliano 74, 00198, Roma, ITA	POI	Clothing Store	Via Garigliano 74	Garigliano	74	Roma	Roma	Lazio	Italia	ITA	12.500720000000058	41.91957000000008	100	
Vinant	GPE	to both. As we got to the turn into Vinant, Monsieur Dubois—Victorine's music-master—	356	Vinzant, 904 W Old Ridge Rd, Hobart, IN, 46342, USA	POI	Other Shops and Service	904 W Old Ridge Rd	Old Ridge	904	Hobart	Lake County	Indiana	United States	USA	-87.27105899999998	41.54000000000008	85.71	
Tournelle	GPE	","" and the Marquise, who are staying at Tournelle."	369	Tournelle, Quai de la Marine, 89000, Auxerre, Yonne, Bourgogne-Franche-Comté, FRA	POI	Parking	Quai de la Marine	Marine		Auxerre	Yonne	Bourgogne-Franche-Comté	France	FRA	3.574390000000051	47.80079000000006	100	
Paris	GPE	, he was not at breakfast; he went to Paris and I did not see him until the evening,	374	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Paris	GPE	been a fit, and perhaps he went up to Paris to see his doctor.	374	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Touraine	GPE	"I believe the real ""Tournelle"" is down in Touraine somewhere and belongs to some one else now. This"	375	Touraine, Gatineau, QC, CAN	Locality	Neighborhood				Gatineau	Gatineau	Québec	Canada	CAN	-75.73012999999997	45.47791100000006	100	
Paris	GPE	the Marquis's relations, who had come specially from Paris. We were spared Yolande and Marie, who usually	379	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
bicyclette	GPE	"""Vous aimez la bicyclette, mademoiselle?"""	381	Bicyclette, 9575 W Pico Blvd, Los Angeles, CA, 90035, USA	POI	Restaurant	9575 W Pico Blvd	Pico	9575	Los Angeles	Los Angeles County	California	United States	USA	-118.39761299999998	34.055421000000024	100	
France	GPE	and for the first time since I have been in France we talked to the persons we wanted to, without	392	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
France	GPE	affair of a week; but unfortunately, even in France, you have to stay on with people longer than	394	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
England	GPE	whole I am rather glad to be coming back to England on Thursday.	396	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Tournelle	GPE	To-day we go over to Tournelle, a visit of ceremony for me to say good	397	Tournelle, Quai de la Marine, 89000, Auxerre, Yonne, Bourgogne-Franche-Comté, FRA	POI	Parking	Quai de la Marine	Marine		Auxerre	Yonne	Bourgogne-Franche-Comté	France	FRA	3.574390000000051	47.80079000000006	100	
St. Anthony	GPE	, without wit, and ugly enough to have tranquillised St. Anthony at his worst moment of temptation—whatever that means	403	St. Anthony, NL, CAN	Locality	City				St. Anthony	Division No. 9	Newfoundland and Labrador	Canada	CAN	-55.59295899999995	51.36821000000003	100	
Paris	GPE	bursting into tears, announced that he would go to Paris, back to Adèle—whoever she is—and	403	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Tournelle	GPE	, as her fiancé, being supposed to be at Tournelle, she might have had private conversation with him not	406	Tournelle, Quai de la Marine, 89000, Auxerre, Yonne, Bourgogne-Franche-Comté, FRA	POI	Parking	Quai de la Marine	Marine		Auxerre	Yonne	Bourgogne-Franche-Comté	France	FRA	3.574390000000051	47.80079000000006	100	
Paris	GPE	n't so bad as this in the smart set in Paris; they speak to one another there quite a lot	407	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
