Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Southampton	GPE	after I had left for Wales. It was from Southampton, and it said: 'Just arrived. Am	116	Southampton, Hampshire, England, GBR	Locality	City				Southampton	Hampshire	England	United Kingdom	GBR	-1.4043040479999718	50.90488206900005	100	
Wales	GPE	. Am going straight up to the little palace in Wales because of memories. Will arrive there dinner-time	116	Wales, GBR	Locality	State or Province						Wales	United Kingdom	GBR	-3.7652226249999785	52.337163856000075	100	
London	GPE	he had actually come very little into my life in London. In fact, we retained our intimacy against the	120	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	invisible aim, a tyrannical decree. As one of England's governing classes, even at the age of fourteen	122	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
the British Empire	GPE	, together with the Navy, Louis took as representing the British Empire.	122	British Empire, Krebsgasse 9, 90402, Nürnberg, Bayern, DEU	POI	Clothing Store	Krebsgasse 9	Krebs	9	Nürnberg	Nürnberg	Bayern	Deutschland	DEU	11.075180000000046	49.44954000000007	99.95	
Piccadilly	GPE	of school, and that if I met him on Piccadilly to-morrow would recognise me only to scowl at	127	Piccadilly, Rotherham, South Yorkshire, England, GBR	Locality	District				Rotherham	South Yorkshire	England	United Kingdom	GBR	-1.3196892569999363	53.478642713000056	100	
Edinburgh	GPE	Even now I don't know why I went to Edinburgh and not to Oxford; I had always intended going	128	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
Edinburgh	GPE	vicious obstinacy, I decided that I would go to Edinburgh instead.	128	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
Edinburgh	GPE	made into a soldier, and I, up at Edinburgh, was on the high road to general fecklessness.	130	Edinburgh, City of Edinburgh, Scotland, GBR	Locality	City				Edinburgh	City of Edinburgh	Scotland	United Kingdom	GBR	-3.1891070809999746	55.95333947800003	100	
London	GPE	"another side-glance at Oxford, came down to London; ""to take up a literary career"" my"	130	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	first loneliness was lightened only by the occasional visits to London of Louis. He was by now a subaltern in	131	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Louis	GPE	was lightened only by the occasional visits to London of Louis. He was by now a subaltern in the Rifle	131	Louis, OK, USA	Locality	Village				Louis	Harmon County	Oklahoma	United States	USA	-99.79779999999994	34.56504000000007	100	
London	GPE	""" They were jolly, sudden evenings, those! London was still careless then. Of an evening, a"	131	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	SOMEWHERE in these papers I have said that Shelmerdene left England, but I touched on it very lightly, for	135	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	. But, more importantly, Shelmerdene to me was England. Before I met her I did not know England	136	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	England. Before I met her I did not know England; I knew English, but England only as a	136	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	did not know England; I knew English, but England only as a man knows the landmarks about him in	136	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	strange country. But when she had come and gone England was a discovered country, a vast and ever-	136	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	on the last note she had sent me before leaving England that I had to smile at the idea of Shelmerdene	138	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	"I had guessed, she would never come back to England, saying, ""I am a fugitive branch which"	138	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Dikran	GPE	.... I have run my perfect fate to earth, Dikran! more perfect than any dream, more lasting than	138	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Dikran	GPE	memory. A spell has been put upon me, Dikran, to prevent a possible ache in my heart for	138	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Dikran	GPE	come to a bad end, someday.... Well, Dikran, that 'someday' of your prophecy has come	138	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Dikran	GPE	divorce stakes, so if you don't mind, Dikran, we will call that bet off and think of	142	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Berkshire	GPE	"from which you can see the twilight creeping over the Berkshire downs across the river."""	142	Berkshire, England, GBR	Locality	County					Berkshire	England	United Kingdom	GBR	-1.0718108729999472	51.45051429500006	100	
Dikran	GPE	guests.... Please don't be silly about it, Dikran. The Hartshorns distinctly need encouragement as hosts, so	144	Dikran, Rue d'Armenie, Borj Hammoud, Maten, Mont Liban, LBN	POI	Specialty Store	Rue d'Armenie	Armenie		Borj Hammoud	Maten	Mont Liban	Liban	LBN	35.539870000000064	33.89419000000004	100	
Hartshorn	GPE	lay facing me against the pale green cushions of the Hartshorn punt, steeped in the happy sunshine of one of	145	Hartshorn, MO, USA	Locality	City				Hartshorn	Texas County	Missouri	United States	USA	-91.66775999999999	37.26139000000006	100	
England	GPE	sunshine of one of those few really warm days which England now and again manages to steal from the molten South	145	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
