Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
London	GPE	in the hay is nothing to the lost unit in London, and it will take time. I'm not	552	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	get them somewhere! If he's been trying in London, I'll find out where before I'm twenty	586	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. Thomas's	GPE	hospitals on his rapid round had included Charing Cross, St. Thomas's, St. George's, and the Royal Free;	599	St Thomas's, Lancashire, England, GBR	POI	School					Lancashire	England	United Kingdom	GBR	-2.4645830599999385	53.748276615000066	100	
St. George's	GPE	round had included Charing Cross, St. Thomas's, St. George's, and the Royal Free; but he had telephoned	599	St. George's, Saint George, Grenada, GRD	Locality	City				Saint George	Grenada		Grenada	GRD	-61.75396999999998	12.052090000000021	100	
St. Mary's	GPE	the Royal Free; but he had telephoned besides to St. Mary's and St. Bartholomew's. At none of these institutions	599	St. Mary's, NS, CAN	Locality	City				St. Mary's	Guysborough County	Nova Scotia	Canada	CAN	-62.17065524099996	45.19239603600005	100	
London	GPE	Eugene Thrush. “Take the telephone directory and the London directory, and sit you down at my desk.	600	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	. “The first is to divide the chemists of London into the Animals who keep the cigarettes and the Vegetables	602	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	the Park; but this hiding in the heart of London, this skulking among strangers, this leaving his own	655	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
St. John's	GPE	the first cab he saw, and drove over to St. John's Wood to borrow money (they could scarcely refuse him	660	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Phillida	GPE	, so silent had he been. It was that Phillida, with the large dark eyes, and she was	666	Fillyra, GRC	Locality	City					Fillyra	Rodopi	Ellada	GRC	25.631700000000023	41.12209000000007	78.57	
Melbourne	GPE	very day, and touches nowhere till she gets to Melbourne. If I could only raise the passage-money	711	Melbourne, Victoria, AUS	Locality	City				Melbourne		Victoria	Australia	AUS	144.96751000000006	-37.81738999999993	100	
